1 Bar Leather,2 Bar Leather,3 Bar Leather,4 Bar Leather,1 Bar Felt,2 Bar Felt,3 Bar Felt,4 Bar Felt
1.572,2.509,3.902,5.264,1.168,2.974,3.391,4.543
1.55,2.494,3.887,5.235,1.16,3.051,3.352,4.58
1.531,2.475,3.895,5.217,1.173,3.154,3.312,4.597
1.531,2.461,3.911,5.214,1.199,3.252,3.29,4.585
1.548,2.456,3.93,5.226,1.223,3.287,3.278,4.561
1.572,2.468,3.957,5.254,1.24,3.244,3.269,4.523
1.574,2.482,3.961,5.285,1.254,3.156,3.281,4.494
1.569,2.492,3.947,5.305,1.265,3.049,3.297,4.483
1.548,2.49,3.931,5.317,1.278,2.95,3.312,4.487
1.522,2.484,3.907,5.312,1.292,2.876,3.319,4.488
1.51,2.492,3.881,5.291,1.295,2.829,3.333,4.49
1.495,2.504,3.869,5.259,1.285,2.821,3.348,4.487
1.488,2.49,3.864,5.228,1.277,2.834,3.364,4.473
1.493,2.47,3.871,5.205,1.27,2.872,3.381,4.433
1.495,2.463,3.888,5.199,1.268,2.898,3.41,4.39
1.504,2.456,3.919,5.195,1.259,2.901,3.448,4.353
1.526,2.437,3.942,5.199,1.278,2.898,3.469,4.335
1.491,2.415,3.942,5.19,1.306,2.898,3.467,4.32
1.524,2.389,3.916,5.176,1.318,2.895,3.445,4.304
1.55,2.379,3.871,5.169,1.301,2.877,3.431,4.299
1.516,2.379,3.823,5.164,1.277,2.853,3.428,4.322
1.457,2.38,3.775,5.173,1.278,2.829,3.421,4.354
1.421,2.374,3.735,5.183,1.308,2.805,3.403,4.396
1.431,2.365,3.723,5.2,1.345,2.797,3.374,4.433
1.471,2.36,3.716,5.223,1.369,2.786,3.338,4.444
1.505,2.374,3.735,5.25,1.371,2.766,3.297,4.421
1.5,2.394,3.761,5.281,1.35,2.723,3.275,4.37
1.481,2.417,3.789,5.312,1.321,2.662,3.281,4.298
1.474,2.441,3.796,5.334,1.294,2.604,3.304,4.215
1.471,2.442,3.789,5.348,1.277,2.563,3.319,4.131
1.449,2.422,3.768,5.353,1.259,2.528,3.326,4.059
1.43,2.406,3.735,5.346,1.246,2.49,3.331,4.024
1.407,2.391,3.696,5.333,1.251,2.453,3.338,4.035
1.399,2.363,3.68,5.309,1.259,2.441,3.338,4.091
1.404,2.336,3.699,5.297,1.263,2.456,3.333,4.155
1.392,2.324,3.74,5.285,1.263,2.482,3.314,4.215
1.395,2.324,3.782,5.274,1.261,2.501,3.293,4.261
1.436,2.332,3.821,5.266,1.252,2.516,3.283,4.286
1.411,2.346,3.856,5.26,1.249,2.537,3.283,4.291
1.381,2.353,3.861,5.26,1.261,2.549,3.271,4.284
1.387,2.36,3.837,5.269,1.29,2.545,3.254,4.255
1.407,2.368,3.797,5.281,1.308,2.535,3.245,4.227
1.428,2.377,3.751,5.291,1.297,2.53,3.235,4.215
1.464,2.374,3.73,5.303,1.273,2.521,3.22,4.234
1.486,2.367,3.763,5.324,1.261,2.496,3.209,4.274
1.491,2.362,3.821,5.336,1.252,2.46,3.221,4.31
1.495,2.365,3.868,5.346,1.261,2.434,3.244,4.316
1.498,2.372,3.876,5.353,1.27,2.429,3.271,4.303
1.486,2.382,3.847,5.348,1.273,2.422,3.29,4.274
1.467,2.396,3.802,5.328,1.268,2.405,3.307,4.231
1.442,2.425,3.773,5.302,1.271,2.386,3.319,4.182
1.411,2.454,3.761,5.264,1.282,2.374,3.348,4.129
1.404,2.477,3.763,5.224,1.294,2.377,3.39,4.108
1.392,2.489,3.78,5.188,1.283,2.406,3.422,4.114
1.39,2.492,3.796,5.176,1.254,2.423,3.434,4.126
1.411,2.485,3.802,5.171,1.227,2.417,3.44,4.136
1.435,2.465,3.811,5.171,1.199,2.399,3.428,4.158
1.447,2.458,3.813,5.171,1.194,2.37,3.381,4.193
1.44,2.447,3.808,5.174,1.213,2.331,3.348,4.234
1.43,2.441,3.799,5.174,1.246,2.296,3.335,4.26
1.419,2.454,3.785,5.174,1.277,2.289,3.347,4.274
1.419,2.492,3.778,5.171,1.289,2.306,3.371,4.292
1.418,2.53,3.77,5.166,1.299,2.346,3.4,4.308
1.392,2.552,3.77,5.152,1.311,2.382,3.433,4.308
1.368,2.568,3.765,5.14,1.32,2.403,3.46,4.303
1.344,2.59,3.747,5.132,1.318,2.396,3.467,4.296
1.332,2.601,3.72,5.137,1.311,2.379,3.446,4.287
1.328,2.611,3.711,5.14,1.299,2.358,3.403,4.282
1.295,2.604,3.732,5.138,1.302,2.356,3.357,4.261
1.33,2.58,3.783,5.123,1.323,2.356,3.319,4.237
1.363,2.547,3.837,5.104,1.338,2.374,3.305,4.229
1.354,2.535,3.868,5.085,1.342,2.391,3.312,4.234
1.344,2.533,3.864,5.068,1.33,2.403,3.347,4.253
1.347,2.554,3.835,5.064,1.308,2.396,3.386,4.277
1.373,2.573,3.792,5.068,1.283,2.377,3.419,4.303
1.387,2.576,3.744,5.07,1.263,2.356,3.446,4.33
1.375,2.576,3.706,5.07,1.249,2.344,3.448,4.37
1.35,2.576,3.715,5.07,1.246,2.348,3.434,4.409
1.335,2.576,3.77,5.07,1.254,2.372,3.405,4.43
1.338,2.575,3.816,5.059,1.256,2.401,3.367,4.425
1.328,2.566,3.833,5.039,1.266,2.42,3.326,4.404
1.407,2.554,3.823,5.037,1.27,2.423,3.285,4.39
1.419,2.549,3.802,5.047,1.258,2.411,3.257,4.385
1.388,2.551,3.783,5.071,1.239,2.382,3.238,4.389
1.352,2.549,3.768,5.09,1.222,2.351,3.233,4.401
1.364,2.539,3.756,5.102,1.208,2.32,3.242,4.427
1.428,2.528,3.765,5.092,1.203,2.3,3.266,4.464
1.447,2.509,3.796,5.071,1.208,2.301,3.305,4.506
1.516,2.487,3.835,5.052,1.225,2.31,3.328,4.535
1.552,2.496,3.856,5.04,1.256,2.32,3.35,4.543
1.54,2.516,3.844,5.037,1.263,2.337,3.359,4.535
1.528,2.539,3.82,5.033,1.237,2.365,3.362,4.513
1.522,2.563,3.787,5.032,1.197,2.386,3.359,4.483
1.547,2.573,3.751,5.03,1.172,2.387,3.376,4.447
1.541,2.575,3.711,5.033,1.153,2.377,3.395,4.415
1.522,2.575,3.689,5.039,1.141,2.368,3.4,4.385
1.517,2.573,3.698,5.049,1.144,2.367,3.39,4.349
1.481,2.578,3.732,5.059,1.165,2.367,3.388,4.329
1.49,2.583,3.759,5.07,1.192,2.377,3.398,4.32
1.564,2.58,3.761,5.078,1.213,2.382,3.412,4.325
1.552,2.585,3.759,5.083,1.227,2.375,3.428,4.335
1.5,2.606,3.744,5.089,1.227,2.36,3.436,4.33
1.466,2.633,3.725,5.09,1.225,2.343,3.44,4.311
1.493,2.652,3.708,5.083,1.22,2.332,3.448,4.274
1.541,2.662,3.696,5.073,1.215,2.329,3.462,4.236
1.569,2.657,3.711,5.051,1.208,2.331,3.472,4.21
1.545,2.647,3.756,5.02,1.204,2.349,3.459,4.21
1.51,2.638,3.79,4.984,1.203,2.368,3.438,4.234
1.491,2.616,3.809,4.958,1.203,2.377,3.421,4.274
1.473,2.606,3.825,4.939,1.194,2.362,3.409,4.306
1.419,2.599,3.835,4.93,1.175,2.346,3.402,4.335
1.485,2.594,3.821,4.932,1.16,2.346,3.402,4.363
1.528,2.594,3.79,4.937,1.148,2.365,3.416,4.382
1.502,2.588,3.761,4.951,1.154,2.396,3.453,4.394
1.481,2.587,3.739,4.966,1.172,2.434,3.503,4.39
1.491,2.583,3.716,4.98,1.194,2.47,3.543,4.385
1.517,2.568,3.704,4.977,1.204,2.482,3.546,4.382
1.517,2.552,3.718,4.972,1.201,2.466,3.531,4.368
1.49,2.54,3.747,4.954,1.185,2.437,3.539,4.354
1.454,2.53,3.763,4.935,1.163,2.413,3.565,4.346
1.431,2.518,3.766,4.915,1.139,2.403,3.584,4.346
1.426,2.508,3.754,4.905,1.132,2.406,3.579,4.342
1.421,2.506,3.744,4.894,1.136,2.415,3.558,4.334
1.409,2.513,3.756,4.887,1.146,2.406,3.529,4.327
1.4,2.515,3.783,4.894,1.16,2.401,3.501,4.32
1.404,2.509,3.792,4.911,1.182,2.41,3.477,4.311
1.388,2.503,3.796,4.932,1.201,2.422,3.455,4.311
1.342,2.499,3.821,4.953,1.211,2.444,3.433,4.318
1.393,2.492,3.856,4.963,1.203,2.472,3.39,4.325
1.443,2.478,3.852,4.963,1.189,2.499,3.352,4.332
